path,source_kind,sha256,hit_count,line_refs,sample_hits
/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex,SOURCE_CUSTODY,04fa4d484fe89256f6771f5651338891219385f6e049ffaf41035541016232cd,29,"[""4"", ""5"", ""212"", ""309"", ""327"", ""330"", ""337"", ""646"", ""702"", ""704"", ""732"", ""763"", ""769"", ""779"", ""782"", ""830"", ""890"", ""896"", ""907"", ""947""]","[{""line"": 4, ""text"": ""%  kafg3.pstex kafg3.pstex_t""}, {""line"": 5, ""text"": ""%    kafgA1.pstex  kafgA1.pstex_t""}, {""line"": 212, ""text"": ""at least $x^{0.84}$ of integers below $x$""}, {""line"": 309, ""text"": ""Using the system $k =9$, and a particular sequence of""}, {""line"": 327, ""text"": ""lower bounds for the $3x+1$ problem for the system $k=9$, relying on""}, {""line"": 330, ""text"": ""$L_{\\lambda}^{NT}$ for $k=9$ (which has  equivalent growth expoonent to""}, {""line"": 337, ""text"": ""$$\\pi_1(x) > x^{0.84},$$""}, {""line"": 646, ""text"": ""the lower bound $\\pi_a(x) \\ge x^{0.84}$ for all sufficiently""}]"
/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/kafg3.pstex,SOURCE_CUSTODY,cb7d6ba27802ae17cb02eaa73bcaf977ec64a4dc77be70570a971214f1f4c3ea,1,"[""2""]","[{""line"": 2, ""text"": ""%%Title: kafg3.pstex""}]"
/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/kafg3.pstex_t,SOURCE_CUSTODY,fa8f8ca7d8282a5ba0ec1127a66f1d4df47e85f0208faa13b4b20c077880c1a5,1,"[""2""]","[{""line"": 2, ""text"": ""\\includegraphics{kafg3.pstex}%""}]"
/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/kafgA1.pstex,SOURCE_CUSTODY,1f4b4218099af1d34588749cdeb5933cb80eeba48cb94f8537a3a6ccdce802b1,1,"[""2""]","[{""line"": 2, ""text"": ""%%Title: kafgA1.pstex""}]"
/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/kafgA1.pstex_t,SOURCE_CUSTODY,a89f731f78050d5891069c54aefe6f052b5faa82fad6bad2ba46c7b9a9330ceb,1,"[""2""]","[{""line"": 2, ""text"": ""\\includegraphics{kafgA1.pstex}%""}]"
CollatzClassical/KL2003/KL2003ConcretePhiRealization.lean,LEAN,1821a02348ff8e7e371a23cd1cd914d82b2f6461dc11a4f7acfe4a8d6ce7c31e,1,"[""1159""]","[{""line"": 1159, ""text"": ""post-deletion repeated-class-8 constructor.""}]"
docs/KL2003_AUDIT_READY_FIDELITY_PACKAGE_v1.md,DOC,064334a62b0e87ecabf57675748fb3969df738fe18016f58c597aa32a08d9537,2,"[""38"", ""184""]","[{""line"": 38, ""text"": ""| KL2003 general program | This package only treats the `k=2` surrogate lane | A calibrated lower-bound mechanism for tracked classes `{2,5,8}` | Not the full KL2003 `k=9` / exponent `0.84` theorem | The name includes `k2` and `surrogate` t""}, {""line"": 184, ""text"": ""-> row28 V3 c' split / post-deletion branch""}]"
docs/KL2003_CONCRETE_PHI_ROW28_SEAM_V3_LEAN_v1.md,DOC,fedd06948634325c79d11acd1eaf352bf8a338b97fc9bce6705bac716d5aeeb2,2,"[""98"", ""124""]","[{""line"": 98, ""text"": ""The concrete seam still needs the post-deletion Figure A1 member-wise""}, {""line"": 124, ""text"": ""BLOCKED_ON_POST_DELETION_ROW28_CLASS8_BRANCH_REALIZATION""}]"
docs/KL2003_DELETION_RULE_SOURCE_AUDIT_v1.md,DOC,7ec88f79e1b2a08bc709b40726cb6d3edde4624a6136e1e422b73bcf486ce2b2,21,"[""1"", ""10"", ""19"", ""25"", ""31"", ""32"", ""35"", ""41"", ""49"", ""64"", ""78"", ""80"", ""98"", ""102"", ""112"", ""115"", ""116"", ""122"", ""123"", ""124""]","[{""line"": 1, ""text"": ""# KL2003 Deletion Rule Source Audit v1""}, {""line"": 10, ""text"": ""of the KL2003 deletion rule relevant to the remaining row28/mod8 seam blocker.""}, {""line"": 19, ""text"": ""/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex""}, {""line"": 25, ""text"": ""04fa4d484fe89256f6771f5651338891219385f6e049ffaf41035541016232cd  30apr02.tex""}, {""line"": 31, ""text"": ""lines 763-779: deletion rule definition""}, {""line"": 32, ""text"": ""lines 896-907: deletion-step proof setup""}, {""line"": 35, ""text"": ""lines 1787-1845: Table 4 / L_2^EL coefficient ledger""}, {""line"": 41, ""text"": ""line 763: apply the deletion rule""}]"
docs/KL2003_FEASIBILITY_AUDIT_v1.md,DOC,b9fd75d2cca9c69b5fa093488e3742ec260189d8d81b9a6451f95a4429480d35,8,"[""7"", ""43"", ""49"", ""52"", ""64"", ""76"", ""84"", ""102""]","[{""line"": 7, ""text"": ""alcanza 1 es ≥ c·x^0.84 para todo x suficientemente grande.""}, {""line"": 43, ""text"": ""mod 3^9 obtienen γ = 0.84).""}, {""line"": 49, ""text"": ""- RIESGO MEDIO: tamaño del certificado a k=9 (3^9 = 19683 clases antes de""}, {""line"": 52, ""text"": ""- Las potencias reales x^γ se manejan con γ racional (0.84 = 21/25) y""}, {""line"": 64, ""text"": ""## Escalera de de-risking (no atacar 0.84 de frente)""}, {""line"": 76, ""text"": ""M3  KL2003: γ = 0.84 con el certificado a k = 9.""}, {""line"": 84, ""text"": ""F2  Cuantificar el certificado de KL a k = 9: dimensión real del sistema""}, {""line"": 102, ""text"": ""- NO-GO (o rebaja a M1-only) si: F2 muestra un certificado k=9""}]"
docs/KL2003_FIGURE_A1_GRAPH_TRANSCRIPTION_AUDIT_v1.md,DOC,62a244048690740d32c11be7e5f4841d7c1a77818f0d309ff5c9789cdc9dc3ab,16,"[""9"", ""11"", ""12"", ""18"", ""19"", ""25"", ""26"", ""32"", ""33"", ""46"", ""47"", ""49"", ""105"", ""127"", ""180"", ""191""]","[{""line"": 9, ""text"": ""This note follows up the PSTeX source audit for the row28/mod8 EL-tree blocker.""}, {""line"": 11, ""text"": ""`kafgA1.pstex_t`, but it did not exploit the companion geometry file""}, {""line"": 12, ""text"": ""`kafgA1.pstex`.""}, {""line"": 18, ""text"": ""kafgA1.pstex_t = labels""}, {""line"": 19, ""text"": ""kafgA1.pstex   = nodes + directed edges + cross/deletion marks""}, {""line"": 25, ""text"": ""/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/kafgA1.pstex""}, {""line"": 26, ""text"": ""/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/kafgA1.pstex_t""}, {""line"": 32, ""text"": ""1f4b4218099af1d34588749cdeb5933cb80eeba48cb94f8537a3a6ccdce802b1  kafgA1.pstex""}]"
docs/KL2003_M0C_ROWS_V3_PHI5_CONTRACT_AND_RECHECK_SCOPING_v1.md,DOC,2bf6382461d70a91db7d4f208f0788df3d02e57826f0d08cf9fcb7c77b4ccc14,7,"[""37"", ""38"", ""191"", ""207"", ""258"", ""259"", ""328""]","[{""line"": 37, ""text"": ""docs/KL2003_ROW28_POST_DELETION_PATTERN_LEDGER_v1.md""}, {""line"": 38, ""text"": ""docs/KL2003_DELETION_RULE_SOURCE_AUDIT_v1.md""}, {""line"": 191, ""text"": ""The coefficient data must be read from the normalized Table 4 ledger after the""}, {""line"": 207, ""text"": ""a1, a2, a3 are the post-deletion row28 auxiliary groups.""}, {""line"": 258, ""text"": ""verify that the same `c12` auxiliary still represents the post-deletion block""}, {""line"": 259, ""text"": ""under the Table 4 ledger with `phi25` reinstated.  If the ledger forces a""}, {""line"": 328, ""text"": ""post-deletion member-wise construction.""}]"
docs/KL2003_M1_SURROGATE_ARBITRARY_X_LEAN_v1.md,DOC,28fc058db1f48e2c4e6aa1e88f47e5b1e1140f6f63b5cb169935c4c6c74ea2f3,2,"[""19"", ""130""]","[{""line"": 19, ""text"": ""not k=9 / 0.84""}, {""line"": 130, ""text"": ""The theorem is not KL2003's full `k=9`/`0.84` result and does not make a global""}]"
docs/KL2003_M1_SURROGATE_ARBITRARY_X_SCOPING_v1.md,DOC,cc5be4dbf662c5312f05f8f5456e81cb5c8ccb43a17cadf42119024af1f21e51,1,"[""381""]","[{""line"": 381, ""text"": ""not a KL2003 x^0.84 theorem""}]"
docs/KL2003_META_ERRATA_M1_PHI5_REINSTATEMENT_v1.md,DOC,faf6f1e137ffbdb6a4e036ed8e6b01c142a9909f74679b732002b42399064967,3,"[""37"", ""40"", ""41""]","[{""line"": 37, ""text"": ""1. `30apr02.tex` lines 1760-1783 print the final `T_2^8(EL)` formula with""}, {""line"": 40, ""text"": ""nodes and the surviving post-deletion leaf structure.""}, {""line"": 41, ""text"": ""3. The deletion rule source audit explains why a crossed class-8 parent node""}]"
docs/KL2003_PROJECT_STATUS_AFTER_M1_SURROGATE_COMPLETION_v1.md,DOC,59c7fccdf88f0ad71081ead35c06f865d5d4cdfefb7693f6b99768f261f4007a,1,"[""129""]","[{""line"": 129, ""text"": ""This is still not the full M1 theorem, not the KL2003 `k=9`/`0.84` theorem,""}]"
docs/KL2003_ROW28_MOD8_EL_TREE_LITERAL_WORDS_ADDENDUM_v1_1.md,DOC,330126fe52cfd8cc91d898554a4413f951700adb7cdd2d2668f41defb4d014ba,27,"[""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""56"", ""65"", ""66"", ""67"", ""80"", ""81"", ""82"", ""90"", ""120"", ""173"", ""175"", ""176"", ""177""]","[{""line"": 33, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L1""}, {""line"": 34, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L2""}, {""line"": 35, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L3""}, {""line"": 36, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L4""}, {""line"": 37, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L5""}, {""line"": 38, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L6""}, {""line"": 39, ""text"": ""BLOCKED_ON_DELETION_RULE_FOR_L7""}, {""line"": 56, ""text"": ""DELETION_RULE_BOUNDARY_CORRECTIONS_RECORDED""}]"
